EventId,EventTemplate,Occurrences
faca27fc,<*> d0:<*>:<*>:<*>:d4:2e,2
93c67990,<*> d0:<*>:<*>:<*>:d4:2e ont-HP-<*>-G3-MT,2
f3a3a5c3,rpc_handle_login called,1
110c6ec8,get lock_state: <*>,1
e22fb23a,Successfully set lock_login_state to <*>,1
7880dc5e,accepted login on / for admim from <*>,1
de5effd8,"name is not allowed. Only messages, wifilog, and logmesh are allowed.",2
a99742dd,log success for downloading <*>,2
4cb27825,1e:<*>:9f:3c:c4:7c,4
77c8419e,<*> 1e:<*>:9f:3c:c4:7c,9
adb87a9c,<*> 1e:<*>:9f:3c:c4:7c iPhone,5
707c3de3,<*> 1c:1b:b5:a0:0f:<*>,12
64def085,<*> 1c:1b:b5:a0:0f:<*> DESKTOP-OMDDDN<*>,12
b407f3bc,<*> f6:<*>:e8:fd:<*>:<*>,5
b55b2da7,<*> f6:<*>:e8:fd:<*>:<*> iPhone,4
a3871662,<*> <*>:e5:<*>:9d:b4:c<*>,25
69ed4b82,<*> <*>:e5:<*>:9d:b4:c1 NguyenMinhX1Mini,11
839a6682,6c:f6:da:<*>:<*>:1b,1
2be42178,<*> 6c:f6:da:<*>:<*>:1b,2
2effc52a,<*> 6c:f6:da:<*>:<*>:1b LamNT<*>,1
bdbdf2fc,<*> <*>:<*>:ad:cd:8b:<*>,3
c6dab69c,<*> <*>:<*>:ad:cd:8b:<*> QAHs-Air,3
f81b132b,reset_count_handler called,1
b767b0b6,<*> <*>:de:<*>:d9:d6:5e,12
1b66788d,90:de:<*>:d9:d6:5e,2
6ddeefb2,<*> <*>:de:<*>:d9:d6:5e DienND2-PC,9
58fbe247,<*> <*>:af:<*>:bf:<*>:4b,11
a22dee6f,<*> <*>:af:<*>:bf:<*>:4b DESKTOP-FSR4I9M,6
14cf94b3,<*> <*>:e2:2b:0d:a5:fd,1
18e87eed,<*> <*>:e2:2b:0d:a5:fd iPhone,1
cac24c0b,<*> 0a:<*>:<*>:5e:2b:6b,76
72923601,28:d0:<*>:a8:c3:<*>,2
e7a2f847,<*> <*>:d0:<*>:a8:c3:<*>,49
5f745ce7,<*> <*>:d0:<*>:a8:c3:<*> TTDVSBH,47
393cc6a4,62:<*>:7d:<*>:cd:<*>,3
8e868974,<*> <*>:<*>:7d:<*>:cd:<*>,3
81cd894a,36:b4:<*>:<*>:<*>:9f,2
59e2e05c,<*> <*>:b4:<*>:<*>:<*>:9f,4
984e72ee,46:6b:a9:<*>:6b:<*>,1
36af7a2c,<*> <*>:6b:a9:<*>:6b:<*>,2
80a81eaa,<*> <*>:6b:a9:<*>:6b:<*> iPhone,1
7dcc4e56,<*> a2:1e:<*>:<*>:9b:a<*>,4
f258ca55,<*> a2:1e:<*>:<*>:9b:a9 iPad,2
43388675,<*> f0:9e:4a:b0:c9:<*>,6
3b3cb7d8,<*> f0:9e:4a:b0:c9:<*> DESKTOP-AHJ00LS,5
c8f9981d,0a:<*>:<*>:5e:2b:6b,2
436f2fca,<*> <*>:<*>:fa:4a:5b:<*>,10
fe878c46,<*> <*>:<*>:fa:4a:5b:<*> Fred_Tran,4
1b8d9562,<*> f2:<*>:<*>:<*>:0e:<*>,1
fd982a8f,<*> f2:<*>:<*>:<*>:0e:<*> iPhone,1
5122b729,<*> 9e:d6:7d:<*>:<*>:4b,24
a34f38b3,04:bf:d5:a6:ac:e<*>,4
887aea14,<*> <*>:bf:d5:a6:ac:e<*>,9
f0f82538,<*> <*>:bf:d5:a6:ac:e8 iPhone,5
a85c330e,04:bf:d5:a7:ac:<*>,4
d9aa7c42,<*> <*>:bf:d5:a7:ac:<*>,10
5afc2f5b,<*> <*>:bf:d5:a7:ac:<*> iPhone,6
b3a5a632,<*> 0a:<*>:<*>:cc:<*>:be,1
ed6aef04,<*> 0a:<*>:<*>:cc:<*>:be iPhone,1
d7adcd6a,<*> ee:e2:4d:cc:2b:a<*>,69
2f6af2c2,<*> ee:e2:4d:cc:2b:a7 V<*>,68
47e08c9e,26:3d:7b:<*>:5c:ec,3
3bff2561,<*> <*>:3d:7b:<*>:5c:ec,4
274a582f,<*> <*>:3d:7b:<*>:5c:ec Galaxy-S<*>,1
5f0707a3,<*> no address available,1271
53cfeffd,fe:a9:ee:<*>:d1:<*>,3
c8a48593,<*> fe:a9:ee:<*>:d1:<*>,7
384834c9,04:bf:d5:a4:1a:<*>,1
7aa16448,<*> <*>:bf:d5:a4:1a:<*>,2
4a6664df,<*> fe:a9:ee:<*>:d1:<*> Galaxy-S<*>,4
87ad1ed3,<*> <*>:bf:d5:a4:1a:<*> address in use,1
79faa4d3,foe_clear_entry: state=<*>,37
31677a19,Delete old entry: dip =<*>,37
2458afe0,Old mac= fe:a9:ee:<*>:d1:<*>,36
ee1ec89b,New mac= <*>:ed:<*>:a7:<*>:c<*>,36
d0bfe322,<*> <*>:d8:<*>:dc:1a:<*>,13
cad8a56a,<*> <*>:d8:<*>:dc:1a:<*> EPC3M,11
c877789c,88:<*>:0d:b5:a8:3a,1
039dc1a5,<*> <*>:<*>:0d:b5:a8:3a,2
147c1b02,<*> <*>:<*>:0d:b5:a8:3a Van-Anh-Vu,1
60214e7a,f6:<*>:e8:fd:<*>:<*>,1
cbdde652,2a:5b:ce:fb:<*>:eb,6
51c94648,ee:e2:4d:cc:2b:a<*>,1
441a5f3f,<*> 7c:b2:7d:b7:4a:<*>,31
58128110,<*> 7c:b2:7d:b7:4a:<*> DESKTOP-U83T0PP,25
